areacd,areanm,cvd_mortality_rate_period,cvd_mortality_rate,employment_rate,econ_inactivity_rate,gdhi_per_head,child_poverty_pct,no_qualifications_pct,level3_plus_qual_pct,fuel_poverty_pct,housing_affordability_ratio,avg_house_price,ghg_emissions,air_pollution_regulating,domestic_gas_consumption,domestic_elec_consumption,coverage_4g_pct,coverage_5g_pct,gigabit_broadband_pct,premises_below_30mbps_pct,adult_obesity_pct,cigarette_smokers_pct,population_density,median_age,job_density
E07000223,Adur,2022-01-01/P3Y,22.906761883926706,77.6,22.4,23470,21.32775745,,66.9,8.058422721446401,9.61,380031.0,3.12,2.115613,8743.117089,2505.95,99.81,99.91,95.4,0.9,24.92315,10.1,1542,45.0,0.62
E07000032,Amber Valley,2022-01-01/P3Y,29.593364827051,78.0,19.2,22715,23.37614168,3.7,62.8,10.413391752232515,6.22,237857.0,5.08,6.520846,10215.14989,2439.6,99.97,99.9,89.2,1.5,29.01824,12.5,491,45.0,0.69
E07000224,Arun,2022-01-01/P3Y,25.9915048961835,81.2,13.0,25129,27.32623427,4.2,71.1,7.832760330152844,10.13,321927.0,2.88,5.900879,9206.857603,2468.35,99.44,93.24,82.3,1.2,36.47196,10.8,770,49.0,0.65
E07000170,Ashfield,2022-01-01/P3Y,42.8231855245639,64.4,31.3,18772,29.79916318,10.6,53.5,10.649440137812231,6.04,190024.0,4.07,5.91107,10215.14989,2397.2,100.0,99.89,97.0,0.6,28.15522,10.8,1183,42.0,0.77
E07000105,Ashford,2022-01-01/P3Y,21.581189630718303,68.1,28.3,25687,22.86792179,11.5,63.1,8.081143416270619,9.21,344332.0,4.4,5.130148,9308.507986,2692.45,99.83,95.32,76.0,5.6,24.19801,12.0,243,41.0,0.9
E07000200,Babergh,2022-01-01/P3Y,20.2089874024017,69.7,24.8,26268,23.24089672,4.9,51.5,10.702951068163518,9.67,328612.0,5.12,4.529093,9542.592277,2710.2,99.97,93.5,75.4,2.2,23.65177,12.6,163,49.0,0.73
E09000002,Barking and Dagenham,2022-01-01/P3Y,46.42920932558889,72.2,25.2,21179,39.24213885,10.7,58.1,12.798899232685848,9.77,371030.0,3.32,7.949982,9590.85685,2427.7,100.0,100.0,95.3,0.9,35.01903,13.9,6447,32.0,0.42
E09000003,Barnet,2022-01-01/P3Y,21.693561554956,67.8,26.4,36880,27.24965723,7.5,69.8,9.436222300430352,12.07,603753.0,2.65,15.602297,12470.84264,2619.55,100.0,100.0,80.2,1.1,16.33209,8.5,4668,38.0,0.67
E08000016,Barnsley,2022-01-01/P3Y,35.7187477369764,69.7,27.1,20404,31.49997829,9.5,60.5,,,,,11.402602,12286.0,2882.8,,,,,35.04764,14.4,765,42.0,0.62
E07000066,Basildon,2022-01-01/P3Y,28.4104681470239,74.9,17.3,24180,26.53463881,7.5,41.3,7.030909068239343,9.12,360294.0,4.11,8.010978,9778.297315,2722.55,100.0,100.0,91.3,0.8,36.3455,13.4,1760,38.0,0.81
E07000084,Basingstoke and Deane,2022-01-01/P3Y,20.8621282878506,81.7,15.2,27908,17.24354768,1.6,74.0,7.137552804255992,8.12,368739.0,4.61,9.913534,9689.662254,2693.5,99.96,90.71,80.5,2.6,26.32682,9.5,305,40.0,0.78
E07000171,Bassetlaw,2022-01-01/P3Y,34.075954038258,77.9,21.1,21571,28.18388712,3.1,57.8,11.376120002189822,5.76,210596.0,7.71,6.564715,9880.406063,2480.4,100.0,98.82,80.9,2.5,32.15689,10.1,196,44.0,0.79
