lsoa_code,lsoa_name,imd_score,imd_decile,health_deprivation_score,health_deprivation_decile,income_score,employment_score,education_score,crime_score,housing_barriers_score,living_environment_score,indoors_subdomain_score,outdoors_subdomain_score,idaci_score,idaopi_score,total_population,population_0_15,population_60_plus,population_working_age,pct_population_0_15,pct_population_60_plus
E01008693,Sunderland 008A,39.321,2,1.568,1,0.346,0.238,40.163,0.959,12.373,27.391,0.205,0.626,0.511,0.236,1471,259,399,926,17.60707002039429,27.124405166553366
E01008694,Sunderland 008B,41.154,2,1.539,1,0.418,0.266,38.285,0.872,14.549,12.157,-0.169,-0.273,0.672,0.387,1376,251,328,880,18.24127906976744,23.837209302325583
E01008695,Sunderland 008C,39.53,2,1.24,1,0.401,0.272,47.859,0.195,18.83,14.329,-0.151,-0.007,0.546,0.33,1470,304,314,950,20.680272108843536,21.360544217687075
E01008696,Sunderland 008D,15.238,6,0.614,3,0.158,0.126,12.702,-0.068,15.543,3.427,-0.773,-0.573,0.192,0.165,1194,167,330,843,13.986599664991624,27.63819095477387
E01008697,Sunderland 008E,38.558,2,1.518,1,0.381,0.226,48.058,0.786,14.035,11.6,-0.206,-0.256,0.423,0.449,1362,206,492,761,15.12481644640235,36.12334801762114
E01008698,Sunderland 003A,44.202,2,1.607,1,0.446,0.265,51.759,0.555,15.941,18.706,-0.122,0.425,0.548,0.517,1445,241,391,924,16.67820069204152,27.058823529411764
E01008699,Sunderland 008F,46.252,1,1.343,1,0.454,0.271,51.633,1.144,16.502,27.179,-0.036,1.069,0.597,0.397,1407,314,344,844,22.316986496090973,24.449182658137882
E01008700,Sunderland 013A,28.272,3,1.054,2,0.248,0.152,22.594,0.64,14.615,45.046,0.706,1.045,0.272,0.379,2093,345,253,1544,16.483516483516482,12.087912087912088
E01008701,Sunderland 011A,41.346,2,1.46,1,0.313,0.202,32.485,1.55,9.958,58.699,1.139,0.727,0.536,0.291,1728,326,271,1217,18.86574074074074,15.682870370370368
E01008702,Sunderland 016A,73.62,1,2.626,1,0.629,0.443,76.44,1.376,24.462,11.109,-0.351,-0.007,0.649,0.616,1202,208,385,700,17.304492512479204,32.02995008319468
E01008703,Sunderland 013B,47.808,1,2.523,1,0.332,0.236,33.759,1.793,24.807,32.884,0.149,1.244,0.25,0.801,2551,172,442,2040,6.742453939631517,17.326538612308898
E01008704,Sunderland 011B,33.091,3,1.031,2,0.283,0.198,26.013,0.381,9.791,60.753,1.278,0.297,0.405,0.295,1611,255,362,1120,15.828677839851025,22.470515207945375
E01008705,Sunderland 013C,49.502,1,1.415,1,0.399,0.256,44.846,1.155,21.609,68.108,1.285,0.977,0.602,0.389,1085,175,241,751,16.129032258064516,22.211981566820278
E01008706,Sunderland 011C,47.712,1,1.561,1,0.377,0.24,34.347,1.485,11.685,71.018,1.386,0.859,0.552,0.34,1526,261,316,1004,17.10353866317169,20.70773263433814
E01008707,Sunderland 011D,41.014,2,0.902,2,0.377,0.197,25.926,1.374,17.371,73.631,1.526,0.663,0.526,0.238,1322,327,195,867,24.735249621785176,14.750378214826021
E01008708,Sunderland 005A,27.775,3,1.136,2,0.264,0.192,26.459,0.412,10.157,21.87,0.233,-0.048,0.279,0.343,1490,225,491,904,15.100671140939598,32.95302013422819
E01008709,Sunderland 005B,70.122,1,2.025,1,0.565,0.415,69.992,1.446,13.307,47.923,0.837,0.879,0.645,0.554,1188,211,297,782,17.76094276094276,25.0
E01008711,Sunderland 005D,29.105,3,0.917,2,0.245,0.165,19.193,0.519,6.305,60.741,1.155,0.843,0.327,0.233,1478,240,397,976,16.23815967523681,26.860622462787553
E01008712,Sunderland 004A,54.039,1,1.92,1,0.522,0.345,49.016,0.982,15.901,9.256,-0.443,-0.083,0.7,0.431,1746,332,536,1009,19.014891179839633,30.698739977090494
E01008713,Sunderland 001A,7.355,9,-0.148,6,0.055,0.062,5.803,-0.068,8.882,23.433,-0.02,0.702,0.101,0.042,1508,199,501,976,13.196286472148541,33.222811671087534
E01008714,Sunderland 034A,52.105,1,1.938,1,0.539,0.335,35.487,1.128,13.632,5.309,-0.706,-0.288,0.721,0.482,1541,386,314,903,25.048669695003245,20.376378974691757
E01008715,Sunderland 034B,28.765,3,0.724,3,0.292,0.216,19.097,0.845,9.595,28.784,0.434,0.22,0.415,0.2,1355,274,351,831,20.22140221402214,25.904059040590404
E01008716,Sunderland 034C,7.556,9,0.207,4,0.078,0.082,4.807,-0.635,15.085,3.275,-0.701,-0.738,0.096,0.046,1417,196,561,803,13.832039520112914,39.59068454481299
E01008717,Sunderland 034D,31.224,3,0.945,2,0.328,0.221,27.565,0.864,12.595,15.72,0.001,-0.219,0.459,0.244,1539,311,390,939,20.207927225471085,25.341130604288498
E01008718,Sunderland 035A,24.066,4,1.012,2,0.265,0.164,20.664,0.466,15.83,5.276,-0.452,-0.898,0.375,0.266,1777,298,443,1148,16.769836803601574,24.929656724817107
E01008719,Sunderland 035B,52.148,1,2.198,1,0.433,0.302,56.316,1.057,12.866,27.606,0.471,-0.041,0.625,0.286,1174,157,449,664,13.373083475298126,38.24531516183987
E01008720,Sunderland 032A,36.225,2,1.087,2,0.327,0.248,32.48,0.878,16.651,31.324,0.416,0.534,0.52,0.23,1360,208,396,845,15.294117647058824,29.117647058823533
E01008721,Sunderland 032B,11.634,7,0.468,3,0.104,0.101,6.921,-0.84,19.453,12.434,-0.169,-0.225,0.162,0.076,1590,260,420,1003,16.352201257861633,26.41509433962264
E01008722,Sunderland 001B,8.72,8,-0.008,5,0.066,0.086,5.682,-0.284,6.623,24.251,0.219,0.273,0.103,0.07,1391,162,503,834,11.646297627606039,36.16103522645579
E01008723,Sunderland 002A,5.845,9,-0.421,7,0.037,0.048,2.152,0.525,13.608,8.529,-0.52,-0.059,0.053,0.023,1539,230,544,928,14.944769330734243,35.34762833008447
E01008724,Sunderland 001C,4.944,10,-0.393,7,0.053,0.054,3.795,-0.751,9.867,19.516,0.157,-0.14,0.128,0.028,1154,189,365,711,16.377816291161178,31.629116117850952
E01008725,Sunderland 002B,8.67,8,0.122,5,0.084,0.073,7.802,-1.065,7.919,27.203,0.573,-0.569,0.091,0.099,1350,153,579,752,11.333333333333332,42.888888888888886
E01008726,Sunderland 001D,10.637,8,-0.164,6,0.084,0.081,7.303,-0.359,7.012,41.245,0.875,0.045,0.175,0.063,1369,156,484,872,11.39517896274653,35.35427319211103
E01008727,Sunderland 002C,20.994,5,0.538,3,0.153,0.128,13.337,-0.35,9.946,61.144,1.347,-0.026,0.271,0.123,1490,192,499,938,12.885906040268457,33.48993288590604
E01008728,Sunderland 002D,10.283,8,-0.021,5,0.084,0.089,6.98,-0.692,7.799,35.714,0.754,-0.071,0.124,0.087,1324,159,429,845,12.009063444108762,32.40181268882175
E01008730,Sunderland 021B,61.894,1,1.626,1,0.623,0.366,75.398,0.747,14.162,7.731,-0.632,-0.02,0.751,0.587,1575,407,276,977,25.841269841269842,17.523809523809526
E01008732,Sunderland 021D,31.752,3,1.128,2,0.323,0.227,32.864,0.579,11.004,13.706,-0.405,0.377,0.427,0.319,1870,314,445,1231,16.791443850267378,23.796791443850267
E01008733,Sunderland 021E,59.91,1,2.041,1,0.537,0.379,46.575,1.621,14.941,13.956,-0.276,0.204,0.709,0.47,1557,252,370,1041,16.184971098265898,23.763648041104688
E01008734,Sunderland 021F,12.258,7,0.293,4,0.089,0.116,15.558,-0.557,10.767,17.28,0.023,-0.065,0.141,0.057,1293,120,706,622,9.280742459396752,54.601701469450894
E01008735,Sunderland 016B,41.874,2,1.425,1,0.385,0.251,30.149,1.434,17.19,30.86,0.399,0.532,0.472,0.443,1990,346,490,1246,17.386934673366834,24.623115577889447
E01008736,Sunderland 016C,83.195,1,2.314,1,0.643,0.535,74.867,2.598,26.903,52.288,0.995,0.699,0.72,0.537,1038,209,224,675,20.134874759152215,21.57996146435453
E01008737,Sunderland 016D,63.223,1,1.595,1,0.478,0.38,39.97,2.172,14.742,68.886,1.371,0.714,0.525,0.33,1295,296,244,850,22.857142857142858,18.841698841698843
E01008738,Sunderland 016E,66.936,1,1.853,1,0.469,0.403,55.23,1.973,16.855,64.45,1.386,0.209,0.574,0.322,1071,200,266,697,18.674136321195146,24.836601307189543
E01008739,Sunderland 024A,41.29,2,0.906,2,0.45,0.273,47.497,0.783,11.273,26.034,0.291,0.296,0.61,0.329,1529,325,354,963,21.255722694571617,23.152387181164162
E01008740,Sunderland 022A,15.324,6,0.873,2,0.121,0.124,9.746,-0.122,9.75,15.704,-0.145,0.147,0.16,0.11,1477,214,600,805,14.488828706838186,40.62288422477996
E01008741,Sunderland 024B,21.019,5,0.46,4,0.183,0.147,20.591,0.384,9.565,34.852,0.696,0.06,0.295,0.157,1393,200,417,896,14.357501794687725,29.935391241923902
E01008742,Sunderland 035C,41.641,2,1.2,1,0.339,0.246,46.568,1.151,13.263,45.439,0.902,0.4,0.511,0.212,1562,233,509,960,14.916773367477592,32.58642765685019
E01008743,Sunderland 036A,63.554,1,1.856,1,0.595,0.398,61.452,1.163,21.842,7.704,-0.291,-0.831,0.761,0.477,1573,345,408,930,21.93261284170375,25.937698664971393
E01008744,Sunderland 036B,33.983,2,1.072,2,0.314,0.223,25.056,1.38,17.05,17.693,0.116,-0.28,0.396,0.298,2059,425,389,1340,20.641087906750847,18.892666342884894
E01008745,Sunderland 036C,15.687,6,0.505,3,0.145,0.125,12.39,-0.277,15.178,21.595,0.191,0.03,0.261,0.074,1640,245,634,875,14.939024390243901,38.65853658536585
E01008746,Sunderland 036D,44.457,2,1.618,1,0.439,0.287,36.006,1.172,17.366,8.677,-0.365,-0.331,0.581,0.451,2294,531,383,1491,23.147340889276375,16.695727986050567
E01008747,Sunderland 035D,18.9,5,0.409,4,0.223,0.168,13.559,-0.253,19.471,6.984,-0.58,-0.184,0.353,0.163,1730,281,540,1045,16.24277456647399,31.213872832369944
E01008748,Sunderland 035E,32.904,3,1.124,2,0.31,0.268,22.897,0.519,19.245,9.27,-0.431,-0.102,0.503,0.261,1480,156,604,856,10.54054054054054,40.81081081081081
E01008749,Sunderland 034E,10.809,8,0.239,4,0.091,0.108,11.055,-0.697,12.913,13.613,-0.058,-0.373,0.19,0.098,1302,122,610,684,9.37019969278034,46.85099846390169
E01008750,Sunderland 033A,18.917,5,0.915,2,0.194,0.128,9.221,0.643,14.577,6.045,-0.476,-0.563,0.275,0.186,2091,349,588,1310,16.690578670492588,28.120516499282637
E01008751,Sunderland 033B,21.458,5,0.656,3,0.247,0.152,25.869,0.391,12.779,3.714,-0.993,-0.324,0.29,0.282,1601,351,348,986,21.92379762648345,21.73641474078701
E01008752,Sunderland 033C,30.592,3,1.115,2,0.356,0.211,33.32,0.16,17.72,3.235,-0.828,-0.549,0.437,0.369,2227,566,336,1413,25.41535698248765,15.087561742254154
E01008753,Sunderland 033D,34.694,2,1.041,2,0.32,0.24,38.218,0.756,16.842,21.321,0.194,-0.012,0.478,0.251,1297,221,370,792,17.039321511179644,28.527370855821125
E01008754,Sunderland 034F,42.33,2,1.301,1,0.393,0.272,35.767,1.405,13.06,26.022,0.32,0.229,0.556,0.327,1404,221,454,833,15.74074074074074,32.33618233618233
E01008755,Sunderland 033E,46.758,1,1.48,1,0.442,0.282,47.728,1.145,12.455,31.86,0.609,0.026,0.704,0.331,1253,212,361,758,16.919393455706306,28.810853950518755
E01008756,Sunderland 012A,43.733,2,1.337,1,0.46,0.284,47.22,0.748,14.414,15.938,-0.065,-0.008,0.593,0.445,1554,316,416,960,20.334620334620336,26.76962676962677
E01008757,Sunderland 015A,43.442,2,1.364,1,0.337,0.252,39.247,1.053,6.474,62.072,1.211,0.722,0.577,0.25,1359,185,398,891,13.612950699043413,29.286239882266372
E01008758,Sunderland 015B,20.753,5,0.483,3,0.212,0.159,21.119,0.397,9.874,18.417,-0.012,0.165,0.337,0.129,1379,227,424,864,16.46120377084844,30.746918056562727
