"Name","Sunderland","North East","England"
"Occupancy rating of bedrooms: +2 or more",39481,428099,8341234
"Occupancy rating of bedrooms: +2 or more %",32.3,36.4,35.6
"Occupancy rating of bedrooms: +1",49459,458092,7791513
"Occupancy rating of bedrooms: +1 %",40.5,39,33.2
"Occupancy rating of bedrooms: 0",30455,265798,6278647
"Occupancy rating of bedrooms: 0 %",24.9,22.6,26.8
"Occupancy rating of bedrooms: -1",2491,20946,854416
"Occupancy rating of bedrooms: -1 %",2,1.8,3.6
"Occupancy rating of bedrooms: -2 or less",291,2745,170275
"Occupancy rating of bedrooms: -2 or less %",0.2,0.2,0.7
