,employment_rate,econ_inactivity_rate,gdhi_per_head,child_poverty_pct,no_qualifications_pct,level3_plus_qual_pct,fuel_poverty_pct,housing_affordability_ratio,avg_house_price,ghg_emissions,air_pollution_regulating,domestic_gas_consumption,domestic_elec_consumption,coverage_4g_pct,coverage_5g_pct,gigabit_broadband_pct,premises_below_30mbps_pct,adult_obesity_pct,cigarette_smokers_pct,population_density,median_age,job_density,cvd_mortality_rate
employment_rate,1.0,-0.936,0.037,-0.499,-0.378,0.346,-0.334,0.091,0.118,0.066,-0.065,0.071,0.34,0.029,-0.102,-0.08,0.041,-0.125,-0.355,-0.197,0.107,0.002,-0.404
econ_inactivity_rate,-0.936,1.0,-0.048,0.469,0.378,-0.367,0.332,-0.128,-0.15,-0.016,0.018,-0.082,-0.311,-0.069,0.059,0.036,-0.016,0.127,0.348,0.129,-0.041,0.0,0.383
gdhi_per_head,0.037,-0.048,1.0,-0.406,-0.344,0.487,-0.287,0.82,0.904,-0.008,-0.03,0.083,0.144,0.057,0.009,-0.144,0.062,-0.62,-0.385,0.385,-0.029,0.525,-0.504
child_poverty_pct,-0.499,0.469,-0.406,1.0,0.474,-0.404,0.616,-0.322,-0.401,-0.227,0.206,-0.29,-0.584,0.042,0.133,0.319,-0.187,0.422,0.656,0.419,-0.39,-0.109,0.794
no_qualifications_pct,-0.378,0.378,-0.344,0.474,1.0,-0.625,0.323,-0.343,-0.382,-0.061,-0.003,-0.049,-0.227,0.021,0.068,0.117,-0.029,0.405,0.465,-0.01,-0.068,-0.193,0.479
level3_plus_qual_pct,0.346,-0.367,0.487,-0.404,-0.625,1.0,-0.241,0.489,0.57,-0.04,0.1,0.095,0.104,-0.018,-0.036,-0.094,0.034,-0.649,-0.469,0.271,-0.176,0.292,-0.415
fuel_poverty_pct,-0.334,0.332,-0.287,0.616,0.323,-0.241,1.0,-0.338,-0.374,0.112,0.152,-0.202,-0.362,-0.076,-0.112,-0.001,0.074,0.279,0.468,0.094,-0.05,-0.069,0.563
housing_affordability_ratio,0.091,-0.128,0.82,-0.322,-0.343,0.489,-0.338,1.0,0.943,-0.157,0.026,0.145,0.275,0.121,0.018,-0.191,0.054,-0.67,-0.385,0.453,-0.153,0.363,-0.562
avg_house_price,0.118,-0.15,0.904,-0.401,-0.382,0.57,-0.374,0.943,1.0,-0.128,0.035,0.211,0.258,0.115,0.08,-0.123,0.006,-0.718,-0.445,0.466,-0.187,0.401,-0.561
ghg_emissions,0.066,-0.016,-0.008,-0.227,-0.061,-0.04,0.112,-0.157,-0.128,1.0,-0.147,0.04,0.169,-0.444,-0.275,-0.278,0.319,0.054,-0.038,-0.351,0.369,0.086,-0.092
